stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1.wav,6a6962b66e1d5119842d3326746ec16c7a6f1e6412f8be2761155e4c87a8c3bd,1764124,2,2,44100,441020
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1.wav,0660560d17b8c4090b449c196f3d604d3cad796b40f0ba36e2614861a4ea5db8,1764124,2,2,44100,441020
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1.wav,cab71b57bc5caf2de3b95f7c47cd3b725dd2147ee17da1f6adcb433d3eba477d,1764124,2,2,44100,441020
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1.wav,b249332c4ebf22130312ac6fd670715e8d0cc3495f4920a130da5f4e7ae7e498,1764124,2,2,44100,441020
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1.wav,f6378a25f51af78eceaa56db89c52372c1748f430ee9b910214e4aba54360ced,1764124,2,2,44100,441020
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1.wav,9a0b5820942c7bb63cfa357a502745316272e7a17697ce6c32e679a4f827c389,1764124,2,2,44100,441020
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1.wav,e4b5cfdf51301ce1a4827e030862de00ff2fd467541250c0a1912bea204185a0,1764124,2,2,44100,441020
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1.wav,c24193ff9be35ec43da7962f8b11ab4ec4dd27c1141336d49feee0ace6aa63df,1764124,2,2,44100,441020
529,id=529_genre=popular_c-id=649_e-id=49_ic_category_1.wav,c578e936decb224473ede87919e400e4f6ac062f674fd0bfff8eb7e52ff224ae,1764124,2,2,44100,441020
530,id=530_genre=popular_c-id=152_e-id=55_ic_category_1.wav,88767f53406e68ea5be0ae24f06da82292999b3f66dfb18fa84e337f58bad762,1764124,2,2,44100,441020
531,id=531_genre=popular_c-id=231_e-id=199_ic_category_1.wav,0fc0a4a50f61a4215c811560c8d8a5f3721e6059d95c12438d539e13a3f7cc67,1764124,2,2,44100,441020
532,id=532_genre=popular_c-id=257_e-id=10_ic_category_1.wav,17897ca84c82b304d13801c5736dbe64e747f5687b67c0bb646c8a1e84a537c7,1764124,2,2,44100,441020
533,id=533_genre=popular_c-id=324_e-id=145_ic_category_1.wav,552201d55361a3aacd3e90e609a8c5f4d0ce88d067c02295bc53b4c239aa5db9,1764124,2,2,44100,441020
534,id=534_genre=popular_c-id=211_e-id=23_ic_category_1.wav,09cf926f68533c3517a375d95af9715f8c74b47c568c7577fee83cb7bb170649,1764124,2,2,44100,441020
535,id=535_genre=popular_c-id=65_e-id=23_ic_category_1.wav,20845e18319f2671f08bcef780f2ba8e9aab803e245bd5147e2a67e2778da6ab,1764124,2,2,44100,441020
536,id=536_genre=popular_c-id=336_e-id=26_ic_category_1.wav,443455914f2e1d579c196fe65adbce2d449cd24827f84f803d78cda498525ab6,1764124,2,2,44100,441020
537,id=537_genre=popular_c-id=392_e-id=55_ic_category_1.wav,4e9003a78c68cc2b7a87948ba474e2ccbe315b4cd11941ec541671fed6603f01,1764124,2,2,44100,441020
538,id=538_genre=popular_c-id=113_e-id=79_ic_category_1.wav,39e1c6a0e2377795d7b00b274dc8f2dccc70d243760c34ec0846ee9d2106a664,1764124,2,2,44100,441020
539,id=539_genre=popular_c-id=278_e-id=8_ic_category_1.wav,b3911c28f77c2d3cd56289de734489a42342bb95069048f9f49a3304d691f835,1764124,2,2,44100,441020
540,id=540_genre=popular_c-id=122_e-id=30_ic_category_1.wav,5879847dd8384971112509fa2c06eb114fcc13123ae9911a6c72a3b740a634a2,1764124,2,2,44100,441020
541,id=541_genre=popular_c-id=125_e-id=57_ic_category_1.wav,c02809ed7d0a24e7135c81311b2933420704910fc721425e37419d765103af6f,1764124,2,2,44100,441020
542,id=542_genre=popular_c-id=175_e-id=55_ic_category_1.wav,12f434ea29e9ac85c79969eb2b91ff5e490cb1f4fe810d4a7cd71f1bd9fa8d54,1764124,2,2,44100,441020
543,id=543_genre=popular_c-id=532_e-id=116_ic_category_1.wav,e949af649612ee9c73a27911df6dbeb001cb5559e2b15cbb808c59c8eddcbb63,1764124,2,2,44100,441020
544,id=544_genre=popular_c-id=446_e-id=224_ic_category_1.wav,00811df9386ae1939198c3012fe699eb0458af0f0e465a5313165b1699ae7a11,1764124,2,2,44100,441020
545,id=545_genre=popular_c-id=646_e-id=8_ic_category_1.wav,967218395bd29d89dc39e4db1546f39ecca7d74dfe8f879433c3c845e3c8c2d8,1764124,2,2,44100,441020
546,id=546_genre=popular_c-id=236_e-id=10_ic_category_1.wav,c454e97c14423d39b8b87892e2d4b600d2d3b905312e62d6fddec1af61338544,1764124,2,2,44100,441020
547,id=547_genre=popular_c-id=444_e-id=57_ic_category_1.wav,d6201b4d637a127032fd1b7559a900c0b656cf6344d3c3535b84fac974204cce,1764124,2,2,44100,441020
548,id=548_genre=popular_c-id=67_e-id=23_ic_category_1.wav,4e9950cefe995d0b25f30044ceb18f6c279429cff4e692890c279560dae561ab,1764124,2,2,44100,441020
549,id=549_genre=popular_c-id=672_e-id=66_ic_category_1.wav,f62b14710dd69d3aa3161618a5615cf1ba704b7a0636e8221af714bf82caa639,1764124,2,2,44100,441020
550,id=550_genre=popular_c-id=3_e-id=84_ic_category_1.wav,ff77bb0675a6f798f69e2e3e1c9fcb7137fc024450b9d973670cc2f70fe21a38,1764124,2,2,44100,441020
551,id=551_genre=popular_c-id=612_e-id=27_ic_category_1.wav,0c6127211b28633381a1cf2783d0d91e5edc6268874aa75b35a68372da293ecb,1764124,2,2,44100,441020
552,id=552_genre=popular_c-id=558_e-id=30_ic_category_1.wav,d0060a3178042b9c4249cd006c778d58e3b0c23753b2bde1426918da70b64da3,1764124,2,2,44100,441020
553,id=553_genre=popular_c-id=720_e-id=6_ic_category_1.wav,1d760e59f0786e1ae867aa0636799340c6f1245b47212cade6f7fdc7527784a3,1764124,2,2,44100,441020
554,id=554_genre=popular_c-id=36_e-id=11_ic_category_1.wav,5f26434237efbb5ef7c9eae8686e3bad42c7ef23711c137826e1f895a4827b9c,1764124,2,2,44100,441020
555,id=555_genre=popular_c-id=174_e-id=59_ic_category_1.wav,cd3fe2059a70cc2ce9d1b47beacbf9ef6069e17d5a3d02b4cf7773a5bda3b702,1764124,2,2,44100,441020
556,id=556_genre=popular_c-id=540_e-id=95_ic_category_1.wav,bfdfb16cda7d058c6f3e6514bbe8d70ead06a3525c5f562ca6ceb9f136c61ae8,1764124,2,2,44100,441020
557,id=557_genre=popular_c-id=150_e-id=51_ic_category_1.wav,4ac21b55d435706763a68c84bba9c2b65466cce8bacf5bbeee2b5a651f61e46c,1764124,2,2,44100,441020
558,id=558_genre=popular_c-id=292_e-id=83_ic_category_1.wav,089031243d3c42cd0a664ef4d2c639c8bf7de702e19467144ee7040e922281f9,1764124,2,2,44100,441020
559,id=559_genre=popular_c-id=464_e-id=15_ic_category_1.wav,d974c7911be8459edb0de24bd8b17f2dc44f6e65368390fde75777fb5656f25d,1764124,2,2,44100,441020
560,id=560_genre=popular_c-id=370_e-id=54_ic_category_1.wav,d72b869cf58d010e07ac9d62740f4137a3c9873b6199375854e28b29dbf6786a,1764124,2,2,44100,441020
561,id=561_genre=popular_c-id=167_e-id=68_ic_category_1.wav,54ea713d9fb285d4691baa59743e0979fef3da521baebb51f9521cfa0c13aaf1,1764124,2,2,44100,441020
562,id=562_genre=popular_c-id=49_e-id=109_ic_category_1.wav,1e3a968507b129a82296203b9ea407c5aae933a1880535ed1d768f4ab1dc387c,1764124,2,2,44100,441020
563,id=563_genre=popular_c-id=287_e-id=75_ic_category_1.wav,51f6928817fb2d8d8466fdaad99cf2e3ce00bfb9b1a0c3c6d5171e0544479cd9,1764124,2,2,44100,441020
564,id=564_genre=popular_c-id=87_e-id=31_ic_category_1.wav,251306a350124d08cb3a53b25315f89e8e6dfaa92ea79bfb3ad3fa62f1ef2426,1764124,2,2,44100,441020
565,id=565_genre=popular_c-id=46_e-id=60_ic_category_1.wav,8e30d69757f5f67cde7b0f7373416394568662f2fe78f5d6fd3978a3cb4cdc0d,1764124,2,2,44100,441020
566,id=566_genre=popular_c-id=17_e-id=135_ic_category_1.wav,948f0799a7ad22a2c3640e8ef40001b341e6c33ffa2c660e968f342021331f22,1764124,2,2,44100,441020
567,id=567_genre=popular_c-id=609_e-id=9_ic_category_1.wav,e185ffe01906c2454af9fd6e19b1982fce2ecfce0fa53bad58ae7e4e8fcdb698,1764124,2,2,44100,441020
568,id=568_genre=popular_c-id=680_e-id=81_ic_category_1.wav,dd3cf4d1fdab1e33cd9c818780dd0a9a0b805dc6938cdacbe934c6df108ee169,1764124,2,2,44100,441020
569,id=569_genre=popular_c-id=9_e-id=20_ic_category_1.wav,68da8dae5c9b3d79eda349c613508a18e15ab0297a51856689ed7062f70ecdac,1764124,2,2,44100,441020
570,id=570_genre=popular_c-id=547_e-id=52_ic_category_1.wav,9f445139fbf73110412912c91081ca66a6cdb2457f26e3cbd3ed83654cbf061f,1764124,2,2,44100,441020
571,id=571_genre=popular_c-id=279_e-id=10_ic_category_1.wav,1a7f2c85465052472e2f6a39de1f61d4978aee96c7a9d99ff24d46d81834f081,1764124,2,2,44100,441020
