stimulus_id,stimulus_label,artist,title,idyom_composition_index,hcorp_sequence_number,hcorp_record_id,mcgill_billboard_id
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival,Bad Moon Rising,508,509,hcorp:popular_1:0509,852
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen,Sunrise,403,404,hcorp:popular_1:0404,655
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison,This Song,232,233,hcorp:popular_1:0233,361
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band,The Other Guy,201,202,hcorp:popular_1:0202,310
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James,Super Freak Part One,485,486,hcorp:popular_1:0486,812
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown,My Thang,309,310,hcorp:popular_1:0310,490
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos,Will The Wolf Survive,648,649,hcorp:popular_1:0649,1119
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson,Breezin',562,563,hcorp:popular_1:0563,967
529,id=529_genre=popular_c-id=649_e-id=49_ic_category_1,Simon And Garfunel,A Hazy Shade Of Winter,649,650,hcorp:popular_1:0650,1121
530,id=530_genre=popular_c-id=152_e-id=55_ic_category_1,Kenny Rogers,You Decorated My Life,152,153,hcorp:popular_1:0153,238
531,id=531_genre=popular_c-id=231_e-id=199_ic_category_1,The Cure,Just Like Heaven,231,232,hcorp:popular_1:0232,359
532,id=532_genre=popular_c-id=257_e-id=10_ic_category_1,Shirley Brown,Woman To Woman,257,258,hcorp:popular_1:0258,400
533,id=533_genre=popular_c-id=324_e-id=145_ic_category_1,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,324,325,hcorp:popular_1:0325,518
534,id=534_genre=popular_c-id=211_e-id=23_ic_category_1,Elvis Presley,My Boy,211,212,hcorp:popular_1:0212,326
535,id=535_genre=popular_c-id=65_e-id=23_ic_category_1,Bread,If,65,66,hcorp:popular_1:0066,106
536,id=536_genre=popular_c-id=336_e-id=26_ic_category_1,Jackson Browne,Redneck Friend,336,337,hcorp:popular_1:0337,545
537,id=537_genre=popular_c-id=392_e-id=55_ic_category_1,Michael Jackson,Human Nature,392,393,hcorp:popular_1:0393,637
538,id=538_genre=popular_c-id=113_e-id=79_ic_category_1,Little River Band,Help Is On The Way,113,114,hcorp:popular_1:0114,187
539,id=539_genre=popular_c-id=278_e-id=8_ic_category_1,Dion,Where Or When,278,279,hcorp:popular_1:0279,434
540,id=540_genre=popular_c-id=122_e-id=30_ic_category_1,Chicago,Along Comes A Woman,122,123,hcorp:popular_1:0123,198
541,id=541_genre=popular_c-id=125_e-id=57_ic_category_1,Jimmy Cliff,"Wonderful World, Beautiful People",125,126,hcorp:popular_1:0126,203
542,id=542_genre=popular_c-id=175_e-id=55_ic_category_1,REO Speedwagon,Time For Me To Fly,175,176,hcorp:popular_1:0176,268
543,id=543_genre=popular_c-id=532_e-id=116_ic_category_1,The Kinks,Till The End Of The Day,532,533,hcorp:popular_1:0533,904
544,id=544_genre=popular_c-id=446_e-id=224_ic_category_1,Stevie Wonder,Do I Do,446,447,hcorp:popular_1:0447,736
545,id=545_genre=popular_c-id=646_e-id=8_ic_category_1,The Everly Brothers,Ebony Eyes,646,647,hcorp:popular_1:0647,1116
546,id=546_genre=popular_c-id=236_e-id=10_ic_category_1,The Buckinghams,Kind Of A Drag,236,237,hcorp:popular_1:0237,369
547,id=547_genre=popular_c-id=444_e-id=57_ic_category_1,Dean Martin,I Will,444,445,hcorp:popular_1:0445,734
548,id=548_genre=popular_c-id=67_e-id=23_ic_category_1,The tee set,Ma belle amie,67,68,hcorp:popular_1:0068,109
549,id=549_genre=popular_c-id=672_e-id=66_ic_category_1,Paul McCartney & Wings,My Love,672,673,hcorp:popular_1:0673,1163
550,id=550_genre=popular_c-id=3_e-id=84_ic_category_1,Billy Joel,An Innocent Man,3,4,hcorp:popular_1:0004,10
551,id=551_genre=popular_c-id=612_e-id=27_ic_category_1,Elvis Presley,My Wish Came True,612,613,hcorp:popular_1:0613,1055
552,id=552_genre=popular_c-id=558_e-id=30_ic_category_1,Abba,Take A Chance On Me,558,559,hcorp:popular_1:0559,961
553,id=553_genre=popular_c-id=720_e-id=6_ic_category_1,Simon & Garfunkel,El Condor Pasa,720,721,hcorp:popular_1:0721,1261
